ta_code,ta_name,radiance_mean,viirs_year,ta_code_str,area_sq_km,pop_2023,radiance_per_km2,radiance_per_capita,rank_radiance,rank_per_km2,rank_per_capita
39,Manawatu District,0.3563701426447533,2021,039,2566.58677851,,0.00013884983185787295,,32.0,31.0,
40,Palmerston North City,2.18032763116344,2021,040,394.74851556,,0.005523333325447401,,9.0,8.0,
41,Tararua District,0.3023425034300837,2021,041,4364.63424408,,6.927098274962395e-05,,42.0,46.0,
42,Horowhenua District,0.4461195488968347,2021,042,1063.89867672,,0.0004193252220899658,,24.0,14.0,
43,Kapiti Coast District,0.6641139660120238,2021,043,731.52254222,,0.0009078516760352908,,14.0,13.0,
44,Porirua City,2.3179815070104364,2021,044,182.47085245,,0.012703297408256485,,8.0,5.0,
45,Upper Hutt City,0.8064003413616797,2021,045,539.879568,,0.0014936670864374698,,13.0,12.0,
46,Lower Hutt City,2.551262072509026,2021,046,376.5297442,,0.0067757251898641,,7.0,7.0,
47,Wellington City,3.652108489968816,2021,047,290.04648123,,0.012591459391202821,,5.0,6.0,
48,Masterton District,0.3398179707701735,2021,048,2300.20390062,,0.00014773384684661154,,35.0,29.0,
49,Carterton District,0.3410365471518499,2021,049,1179.89644601,,0.0002890393884184642,,34.0,17.0,
50,South Wairarapa District,0.2885305542303213,2021,050,2457.76943182,,0.00011739528960479498,,51.0,35.0,
51,Tasman District,0.2703834553204837,2021,051,14800.25053171,,1.8268843134863066e-05,,62.0,66.0,
52,Nelson City,1.2032893154533122,2021,052,447.21729928,,0.002690614422542586,,11.0,10.0,
53,Marlborough District,0.2887829308191488,2021,053,12484.85779763,,2.3130654389509222e-05,,50.0,63.0,
54,Kaikoura District,0.2625003972318078,2021,054,2048.73751635,,0.00012812788126195617,,66.0,34.0,
55,Buller District,0.2740620118610435,2021,055,7949.70267685,,3.447449835565903e-05,,59.0,58.0,
56,Grey District,0.296993200071681,2021,056,3515.67825772,,8.447678607094383e-05,,43.0,41.0,
57,Westland District,0.2702213767092365,2021,057,11890.45409022,,2.2725908923150032e-05,,63.0,64.0,
58,Hurunui District,0.2765502710349428,2021,058,8654.57572053,,3.195422629198593e-05,,58.0,61.0,
59,Waimakariri District,0.4806100743028551,2021,059,2217.12794285,,0.00021677146591957898,,21.0,22.0,
60,Christchurch City,2.567918416420531,2021,060,1608.60216606,,0.0015963663798303932,,6.0,11.0,
62,Selwyn District,0.3771068052734188,2021,062,6552.89457688,,5.754812638126843e-05,,29.0,49.0,
63,Ashburton District,0.3261406920579427,2021,063,6189.51487113,,5.269244825295981e-05,,38.0,51.0,
64,Timaru District,0.4441211828983468,2021,064,2732.92577341,,0.00016250759066324582,,25.0,26.0,
65,Mackenzie District,0.2725473394545775,2021,065,7442.47986203,,3.662050076145425e-05,,60.0,57.0,
66,Waimate District,0.2896516904880951,2021,066,3583.06117148,,8.083916981201108e-05,,48.0,43.0,
67,Chatham Islands Territory,0.2483707996279578,2021,067,13577.68859747,,1.8292568565332836e-05,,67.0,65.0,
68,Waitaki District,0.2898363028279125,2021,068,7216.92981797,,4.016060986296781e-05,,47.0,56.0,
69,Central Otago District,0.2786524884206598,2021,069,9967.99066744,,2.7954730067200586e-05,,57.0,62.0,
70,Queenstown-Lakes District,0.3087112846806218,2021,070,9375.19401758,,3.292852223663195e-05,,40.0,60.0,
71,Dunedin City,0.5145629276370277,2021,071,3350.43480218,,0.00015358094039084755,,17.0,28.0,
72,Clutha District,0.2861296048543437,2021,072,6369.54954607,,4.4921481932876255e-05,,53.0,53.0,
73,Southland District,0.2656541904162138,2021,073,31091.11762177,,8.544375716818964e-06,,65.0,67.0,
74,Gore District,0.379350493208456,2021,074,1253.846592,,0.0003025493673858117,,28.0,16.0,
75,Invercargill City,1.574912669837626,2021,075,496.11115277,,0.003174515753262585,,10.0,9.0,
76,Auckland,0.9152489811200172,2021,076,16156.20612281,,5.664999407427904e-05,,12.0,50.0,
999,Area Outside Territorial Authority,0.2329996713770674,2021,999,127011.76743385,,1.8344731050090913e-06,,68.0,68.0,
