region,site_name,lawa_site_id,indicator,year,days_measured,exceed_who_daily,exceed_nes_daily
Auckland,Takapuna,LAWA-100124,PM10,2020,365,1,1.0
Auckland,Takapuna,LAWA-100124,PM10,2021,353,0,0.0
Auckland,Takapuna,LAWA-100124,PM10,2022,362,0,0.0
Auckland,Takapuna,LAWA-100124,PM10,2023,329,0,0.0
Auckland,Takapuna,LAWA-100124,PM10,2024,364,0,0.0
Auckland,Takapuna,LAWA-100124,PM2.5,2016,354,8,
Auckland,Takapuna,LAWA-100124,PM2.5,2017,287,6,
Auckland,Takapuna,LAWA-100124,PM2.5,2018,328,9,
Auckland,Takapuna,LAWA-100124,PM2.5,2019,363,6,
Auckland,Takapuna,LAWA-100124,PM2.5,2020,353,0,
Auckland,Takapuna,LAWA-100124,PM2.5,2021,312,6,
Auckland,Takapuna,LAWA-100124,PM2.5,2022,358,3,
Auckland,Takapuna,LAWA-100124,PM2.5,2023,326,1,
Auckland,Takapuna,LAWA-100124,PM2.5,2024,335,1,
Bay of Plenty,Mount Maunganui at Bridge Marina Entrance,LAWA-103979 ,PM10,2024,88,0,0.0
Bay of Plenty,Mount Maunganui at Rail Yard South,LAWA-102810,PM10,2018,66,1,0.0
Bay of Plenty,Mount Maunganui at Rail Yard South,LAWA-102810,PM10,2019,356,35,17.0
Bay of Plenty,Mount Maunganui at Rail Yard South,LAWA-102810,PM10,2020,356,9,6.0
Bay of Plenty,Mount Maunganui at Rail Yard South,LAWA-102810,PM10,2021,357,2,1.0
Bay of Plenty,Mount Maunganui at Rail Yard South,LAWA-102810,PM10,2022,364,5,3.0
Bay of Plenty,Mount Maunganui at Rail Yard South,LAWA-102810,PM10,2023,26,1,0.0
Bay of Plenty,Mount Maunganui at Ranch Rd,LAWA-103977,PM10,2024,326,3,1.0
Bay of Plenty,Mount Maunganui at Ranch Rd,LAWA-103977,PM2.5,2024,320,0,
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2018,18,0,0.0
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2019,350,1,1.0
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2020,360,4,2.0
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2021,363,5,4.0
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2022,364,6,4.0
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2023,365,7,3.0
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM10,2024,357,1,1.0
Bay of Plenty,Mount Maunganui at Rata St,LAWA-102812,PM2.5,2024,123,0,
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2018,148,0,0.0
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2019,357,1,0.0
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2020,351,0,0.0
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2021,356,0,0.0
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2022,346,4,3.0
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2023,351,0,0.0
Bay of Plenty,Mount Maunganui at Tauranga Bridge Marina,LAWA-102811,PM10,2024,141,2,1.0
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM10,2018,143,0,0.0
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM10,2019,362,2,2.0
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM10,2020,365,2,0.0
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM10,2021,365,1,1.0
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM10,2022,364,7,2.0
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM10,2023,212,1,0.0
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM2.5,2018,139,2,
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM2.5,2019,337,5,
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM2.5,2020,365,1,
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM2.5,2021,363,1,
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM2.5,2022,331,1,
Bay of Plenty,Mount Maunganui at Totara St,LAWA-102805,PM2.5,2023,212,0,
Bay of Plenty,Mount Maunganui at Totara St Rail Crossing,LAWA-103978 ,PM10,2024,345,1,0.0
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2018,142,4,3.0
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2019,351,5,1.0
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2020,356,1,1.0
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2021,356,0,0.0
