region,site_name,lawa_site_id,indicator,year,mean_ugm3,days_measured,first_date,last_date,pct_coverage
Auckland,Patumahoe,LAWA-100106,PM2.5,2021,4.7115501519756835,329,2021-01-01 00:00:00,2021-12-31 00:00:00,90.1
Auckland,Patumahoe,LAWA-100106,PM2.5,2022,5.1,323,2022-01-01 00:00:00,2022-12-31 00:00:00,88.5
Auckland,Patumahoe,LAWA-100106,PM2.5,2023,5.151029411764705,340,2023-01-01 00:00:00,2023-12-31 00:00:00,93.2
Auckland,Patumahoe,LAWA-100106,PM2.5,2024,5.844510385756676,337,2024-01-01 00:00:00,2024-12-31 00:00:00,92.3
Auckland,Penrose,LAWA-100110,PM10,2016,16.03421052631579,342,2016-01-01 00:00:00,2016-12-31 00:00:00,93.7
Auckland,Penrose,LAWA-100110,PM10,2017,14.157060518731988,347,2017-01-01 00:00:00,2017-12-31 00:00:00,95.1
Auckland,Penrose,LAWA-100110,PM10,2018,14.932947976878614,346,2018-01-01 00:00:00,2018-12-31 00:00:00,94.8
Auckland,Penrose,LAWA-100110,PM10,2019,16.275714285714287,350,2019-01-01 00:00:00,2019-12-31 00:00:00,95.9
Auckland,Penrose,LAWA-100110,PM10,2020,13.858563535911603,362,2020-01-01 00:00:00,2020-12-31 00:00:00,99.2
Auckland,Penrose,LAWA-100110,PM10,2021,13.727350427350428,351,2021-01-01 00:00:00,2021-12-31 00:00:00,96.2
Auckland,Penrose,LAWA-100110,PM10,2022,13.878236914600551,363,2022-01-01 00:00:00,2022-12-31 00:00:00,99.5
Auckland,Penrose,LAWA-100110,PM10,2023,14.333955922865012,363,2023-01-01 00:00:00,2023-12-31 00:00:00,99.5
Auckland,Penrose,LAWA-100110,PM10,2024,19.664772727272727,352,2024-01-01 00:00:00,2024-12-31 00:00:00,96.4
Auckland,Penrose,LAWA-100110,PM2.5,2016,6.635103244837759,339,2016-01-01 00:00:00,2016-12-31 00:00:00,92.9
Auckland,Penrose,LAWA-100110,PM2.5,2017,6.5905555555555555,360,2017-01-01 00:00:00,2017-12-31 00:00:00,98.6
Auckland,Penrose,LAWA-100110,PM2.5,2018,6.922121212121213,330,2018-01-01 00:00:00,2018-12-31 00:00:00,90.4
Auckland,Penrose,LAWA-100110,PM2.5,2019,7.288856304985337,341,2019-01-01 00:00:00,2019-12-31 00:00:00,93.4
Auckland,Penrose,LAWA-100110,PM2.5,2020,5.682352941176471,289,2020-01-01 00:00:00,2020-12-31 00:00:00,79.2
Auckland,Penrose,LAWA-100110,PM2.5,2021,5.508734939759036,332,2021-01-01 00:00:00,2021-12-31 00:00:00,91.0
Auckland,Penrose,LAWA-100110,PM2.5,2022,5.203179190751445,346,2022-01-01 00:00:00,2022-12-31 00:00:00,94.8
Auckland,Penrose,LAWA-100110,PM2.5,2023,5.009934426229508,305,2023-01-01 00:00:00,2023-12-20 00:00:00,83.6
Auckland,Penrose,LAWA-100110,PM2.5,2024,7.9375,352,2024-01-01 00:00:00,2024-12-31 00:00:00,96.4
Auckland,Queen Street,LAWA-100113,PM10,2017,15.420000000000002,280,2017-03-04 00:00:00,2017-12-31 00:00:00,76.7
Auckland,Queen Street,LAWA-100113,PM10,2018,16.650877192982456,342,2018-01-01 00:00:00,2018-12-31 00:00:00,93.7
Auckland,Queen Street,LAWA-100113,PM10,2019,16.847058823529412,357,2019-01-01 00:00:00,2019-12-31 00:00:00,97.8
Auckland,Queen Street,LAWA-100113,PM10,2020,16.111428571428572,350,2020-01-01 00:00:00,2020-12-31 00:00:00,95.9
Auckland,Queen Street,LAWA-100113,PM10,2021,18.99095890410959,365,2021-01-01 00:00:00,2021-12-31 00:00:00,100.0
Auckland,Queen Street,LAWA-100113,PM10,2022,19.31534090909091,352,2022-01-01 00:00:00,2022-12-31 00:00:00,96.4
Auckland,Queen Street,LAWA-100113,PM10,2023,20.53343043478261,230,2023-01-01 00:00:00,2023-08-22 00:00:00,63.0
Auckland,Queen Street,LAWA-100113,PM2.5,2017,6.555900621118012,161,2017-07-01 00:00:00,2017-12-31 00:00:00,44.1
Auckland,Queen Street,LAWA-100113,PM2.5,2018,6.837426900584796,342,2018-01-01 00:00:00,2018-12-31 00:00:00,93.7
Auckland,Queen Street,LAWA-100113,PM2.5,2019,7.186554621848739,357,2019-01-01 00:00:00,2019-12-31 00:00:00,97.8
Auckland,Queen Street,LAWA-100113,PM2.5,2020,6.441999999999999,350,2020-01-01 00:00:00,2020-12-31 00:00:00,95.9
Auckland,Queen Street,LAWA-100113,PM2.5,2021,7.624931506849315,365,2021-01-01 00:00:00,2021-12-31 00:00:00,100.0
Auckland,Queen Street,LAWA-100113,PM2.5,2022,8.076704545454545,352,2022-01-01 00:00:00,2022-12-31 00:00:00,96.4
Auckland,Queen Street,LAWA-100113,PM2.5,2023,8.550343478260869,230,2023-01-01 00:00:00,2023-08-22 00:00:00,63.0
Auckland,Takapuna,LAWA-100124,PM10,2016,14.32443820224719,356,2016-01-01 00:00:00,2016-12-31 00:00:00,97.5
